"","logFC.populationSTDI","logFC.populationSTGL2","logFC.populationSTGL3","logFC.populationSTIN","logFC.populationSTPO1","logFC.populationSTTO.BH","logCPM","LR","PValue","FDR"
"Sdiv_ptg000007l_2101-R",-0.0315162337050485,-3.92985793482515,-6.59219834639347,-0.847363481174982,-9.83616486716591,-0.992563166071045,4.78776754558669,566.745914271028,3.46290325383996e-119,1.2667986443732e-116
"Sdiv_ptg000009l_0130-R",8.92954855051629,3.26804766244699,1.40132081788127,2.44014423968809,-0.521598110162699,8.97470115720544,3.60931034922725,566.348056308586,4.21916299466671e-119,1.52967261215568e-116
"Sdiv_ptg000005l_2067-R",-0.294503173913559,0.292698379415952,1.08525821834293,-0.0774104182972745,-6.70269687130347,-0.475071158263221,5.87557072601466,566.319518720382,4.27936714684781e-119,1.53776975544161e-116
"Sdiv_ptg000009l_0044-R",1.58065828357284,-2.79692174929258,-5.62682194841646,-9.66335391866542,2.14475298743551,1.9414754787935,4.83808102754209,562.658119369556,2.63528989063909e-118,9.38671765783254e-116
"Sdiv_ptg000018l_0035-R",6.04896673498948,3.27164046539898,1.03363746528796,0.514617934152193,8.00214730151337,6.72011274939752,4.00833285527359,562.561050889295,2.76539530712341e-118,9.76449059487421e-116
"Sdiv_ptg000009l_2115-R",-3.41054529420636,0.559229321382445,2.56643288975736,0.644521739995002,-4.08549532286796,-3.29370388623431,5.54392167752197,562.530842793571,2.80718057305466e-118,9.8265839956429e-116
"Sdiv_ptg000007l_0437-R",7.15533859341528,1.07005299604918,-3.9587197422469,0.414755526128454,-3.9587197422469,3.00856507977877,3.40283883865828,562.193438311017,3.31907848312764e-118,1.15191881099044e-115
"Sdiv_ptg000007l_0043-R",1.07408919524913,3.75479407061884,3.91360980210548,2.54314005106475,2.44579994933394,2.80994545957753,7.03387259388795,559.404606107799,1.32525873642715e-117,4.56046239418314e-115
"Sdiv_ptg000014l_2638-R",1.05250654418682,3.49972101718,3.24248993544108,2.9293368474233,1.32722569446141,1.01499233940544,7.53541976814455,557.34187407927,3.68994598431001e-117,1.25910879528481e-114
"Sdiv_ptg000009l_0572-R",-1.72311360348842,-1.68243879249277,-1.1028855772121,-8.87673846947324,-8.23029359276413,-0.930575585425921,4.85019890253768,555.990274399416,7.21796495984127e-117,2.44243904299429e-114
"Sdiv_ptg000014l_0474-R",0.468056554958385,-5.28119496768721,-8.85086036266363,-7.60184337424715,-3.57071497897623,-0.355707233868122,3.94477326928692,555.025950761503,1.16496426720458e-116,3.9094660358768e-114
"Sdiv_ptg000022l_0335-R",2.8514467231104,-1.15692584652349,-1.7868287424892,-0.940287400321583,-1.92567189994643,-0.36161853749373,6.09938482862571,554.208825571916,1.74772861002409e-116,5.81707114251134e-114
